Delay_from_due_date,Num_of_Delayed_Payment,Num_Credit_Inquiries,Credit_Utilization_Ratio,Credit_History_Age,Payment_of_Min_Amount,Amount_invested_monthly,Monthly_Balance,Credit_Score,Credit_Mix,Payment_Behaviour,Age,Annual_Income,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Monthly_Inhand_Salary,Changed_Credit_Limit,Outstanding_Debt,Total_EMI_per_month
1,0,5,30.1680304,320,No,233.6055264,292.3016778,Good,Good,Low_spent_Small_value_payments,44,31370.8,1,6,12,2,2825.233333,5.76,421.43,46.61612907
1,0,5,25.18923173,321,No,184.7005716,341.2066326,Good,Good,Low_spent_Small_value_payments,44,31370.8,1,6,12,2,2825.233333,5.76,421.43,46.61612907
1,0,5,25.50246855,321,No,137.7174249,378.1897794,Good,Good,Low_spent_Small_value_payments,44,31370.8,1,6,12,2,2825.233333,5.76,421.43,46.61612907
1,2,5,22.76220217,323,No,188.3949005,337.5123038,Good,Good,Low_spent_Small_value_payments,44,31370.8,1,6,12,2,2825.233333,5.76,421.43,46.61612907
1,2,5,37.56505277,324,No,252.6448272,273.2623771,Good,Good,Low_spent_Small_value_payments,44,31370.8,1,6,12,2,2825.233333,5.76,421.43,46.61612907
16,20,4,37.08907565,230,NM,117.3066971,362.5457119,Standard,Standard,High_spent_Large_value_payments,40,33751.27,5,5,20,3,2948.605833,11,1328.93,65.00817429
16,20,4,30.90808063,231,Yes,70.13107792,399.7213311,Standard,Standard,High_spent_Large_value_payments,40,33751.27,5,5,20,3,2948.605833,11,1328.93,65.00817429
16,20,8,38.03072168,232,Yes,270.1825822,229.6698268,Standard,Standard,High_spent_Large_value_payments,40,33751.27,5,5,20,3,2948.605833,11,1328.93,65.00817429
17,22,8,23.40441278,233,Yes,25.19256191,444.6598471,Standard,Standard,High_spent_Large_value_payments,40,33751.27,5,5,20,3,2948.605833,11,1328.93,65.00817429
16,20,8,29.07375818,234,Yes,243.3296848,276.5227243,Standard,Standard,High_spent_Large_value_payments,40,33751.27,5,5,20,3,2948.605833,11,1328.93,65.00817429
16,20,8,32.78263673,235,Yes,72.86008181,406.9923272,Standard,Standard,High_spent_Large_value_payments,40,33751.27,5,5,20,3,2948.605833,11,1328.93,65.00817429
16,20,8,35.58400505,236,Yes,35.42716954,444.4252395,Standard,Standard,High_spent_Large_value_payments,40,33751.27,5,5,20,3,2948.605833,11,1328.93,65.00817429
16,17,8,31.13948358,236,Yes,25.96961191,443.8827971,Standard,Standard,High_spent_Large_value_payments,40,33751.27,5,5,20,3,2948.605833,11,1328.93,65.00817429
4,0,3,28.21061721,305,No,98.93176402,732.5635317,Standard,Good,High_spent_Large_value_payments,33,88640.24,3,6,1,2,7266.686667,3.51,950.36,135.173371
4,2,3,41.03616828,306,NM,157.1747883,674.3205074,Good,Good,High_spent_Large_value_payments,33,88640.24,3,6,1,2,7266.686667,3.51,950.36,135.173371
4,0,3,34.67019438,307,No,298.1889115,543.3063842,Standard,Good,High_spent_Large_value_payments,33,88640.24,3,6,1,2,7266.686667,3.51,950.36,135.173371
4,2,3,31.82853557,308,No,164.0748219,86.63611983,Standard,Good,High_spent_Large_value_payments,33,88640.24,3,6,1,2,7266.686667,3.51,950.36,135.173371
4,2,3,34.70283693,309,No,279.6186221,561.8766736,Good,Good,High_spent_Large_value_payments,33,88640.24,3,6,1,2,7266.686667,3.51,950.36,135.173371
4,0,3,38.32363895,310,No,686.1262166,195.3690791,Good,Good,High_spent_Large_value_payments,33,88640.24,3,6,1,2,7266.686667,3.51,950.36,135.173371
4,2,3,25.9791728,311,No,164.0748219,667.4204738,Good,Good,High_spent_Large_value_payments,33,88640.24,3,6,1,2,7266.686667,3.51,950.36,135.173371
4,2,3,30.87079911,312,No,98.44195128,733.0533444,Good,Good,High_spent_Large_value_payments,33,88640.24,3,6,1,2,7266.686667,3.51,950.36,135.173371
10,8,3,25.64924607,322,Yes,243.7354374,378.5404802,Standard,Standard,Low_spent_Small_value_payments,35,54392.16,6,4,14,3,4766.68,5.54,179.22,124.3920824
10,10,3,29.40877528,323,Yes,142.7518641,459.5240535,Standard,Standard,Low_spent_Small_value_payments,35,54392.16,6,4,14,3,4766.68,5.54,179.22,124.3920824
15,11,3,31.25892847,324,NM,33.34956859,558.926349,Standard,Standard,Low_spent_Small_value_payments,35,54392.16,6,4,14,3,4766.68,5.54,179.22,124.3920824
10,7,3,27.19258741,325,Yes,494.8422277,147.4336899,Standard,Standard,Low_spent_Small_value_payments,35,54392.16,6,4,14,3,4766.68,5.54,179.22,124.3920824
10,8,3,34.59532446,326,Yes,233.1184454,409.1574722,Standard,Standard,Low_spent_Small_value_payments,35,54392.16,6,4,14,3,4766.68,5.54,179.22,124.3920824
10,8,3,23.1950254,327,Yes,635.1465605,7.129357074,Standard,Standard,Low_spent_Small_value_payments,35,54392.16,6,4,14,3,4766.68,5.54,179.22,124.3920824
10,8,7,35.11253199,328,Yes,158.1124035,464.1635141,Standard,Standard,Low_spent_Small_value_payments,35,54392.16,6,4,14,3,4766.68,5.54,179.22,124.3920824
10,8,7,32.87880507,329,Yes,495.1178979,147.1580197,Standard,Standard,Low_spent_Small_value_payments,35,54392.16,6,4,14,3,4766.68,5.54,179.22,124.3920824
23,9,6,24.52316385,107,Yes,13.06620992,272.2984679,Poor,Standard,Low_spent_Large_value_payments,39,8701.545,6,5,32,7,519.12875,8.86,2602.69,36.54819717
23,9,6,39.9025176,108,Yes,34.71516394,250.6495139,Poor,Standard,Low_spent_Large_value_payments,39,8701.545,6,5,32,7,519.12875,8.86,2602.69,36.54819717
23,9,6,36.47591386,109,NM,45.65097554,239.7137023,Poor,Standard,Low_spent_Large_value_payments,39,8701.545,6,5,32,7,519.12875,8.86,2602.69,36.54819717
22,7,6,32.09749228,110,Yes,20.39018388,284.974494,Poor,Standard,Low_spent_Large_value_payments,39,8701.545,6,5,32,7,519.12875,8.86,2602.69,36.54819717
22,9,6,37.16937449,111,Yes,50.4869522,254.8777256,Poor,Standard,Low_spent_Large_value_payments,39,8701.545,6,5,32,7,519.12875,8.86,2602.69,36.54819717
23,6,6,28.57003141,112,Yes,52.93161341,242.4330644,Poor,Standard,Low_spent_Large_value_payments,39,8701.545,6,5,32,7,519.12875,8.86,2602.69,36.54819717
21,9,9,38.46541541,112,Yes,30.4718063,264.8928715,Poor,Standard,Low_spent_Large_value_payments,39,8701.545,6,5,32,7,519.12875,8.86,2602.69,36.54819717
23,9,9,28.81553706,114,NM,34.71516394,264.7720511,Poor,Standard,Low_spent_Large_value_payments,39,8701.545,6,5,32,7,519.12875,8.86,2602.69,36.54819717
16,14,5,37.41820917,218,NM,53.10459911,337.1522635,Standard,Standard,Low_spent_Small_value_payments,37,25546.26,8,7,14,5,2415.855,7.83,758.44,101.3286374
16,13,5,29.71137554,219,Yes,300.3232317,129.933631,Standard,Standard,Low_spent_Small_value_payments,37,25546.26,8,7,14,5,2415.855,7.83,758.44,101.3286374
16,10,5,25.41361674,220,Yes,91.21658676,319.0402759,Standard,Standard,Low_spent_Small_value_payments,37,25546.26,8,7,14,5,2415.855,7.83,758.44,101.3286374
16,10,5,35.94627822,221,Yes,83.71475049,306.5421121,Standard,Standard,Low_spent_Small_value_payments,37,25546.26,8,7,14,5,2415.855,7.83,758.44,101.3286374
16,13,5,28.27742001,222,Yes,311.9993475,118.2575152,Standard,Standard,Low_spent_Small_value_payments,37,25546.26,8,7,14,5,2415.855,7.83,758.44,101.3286374
16,10,5,34.58659949,222,Yes,61.73074847,338.5261142,Standard,Standard,Low_spent_Small_value_payments,37,25546.26,8,7,14,5,2415.855,7.83,758.44,101.3286374
16,14,5,30.09906724,224,Yes,130.3003938,299.9564689,Standard,Standard,Low_spent_Small_value_payments,37,25546.26,8,7,14,5,2415.855,7.83,758.44,101.3286374
15,13,5,39.3334879,225,Yes,189.8158613,230.4410013,Standard,Standard,Low_spent_Small_value_payments,37,25546.26,8,7,14,5,2415.855,7.83,758.44,101.3286374
8,14,0,25.36959679,202,Yes,81.99883506,447.0747001,Standard,Standard,High_spent_Small_value_payments,30,31993.78,6,6,7,2,2942.148333,6.28,818.22,45.14129822
12,14,0,37.95856941,203,Yes,104.5572362,157.8698035,Standard,Standard,High_spent_Small_value_payments,30,31993.78,6,6,7,2,2942.148333,6.28,818.22,45.14129822
8,14,1,27.38010905,204,Yes,264.2570885,274.8164466,Standard,Standard,High_spent_Small_value_payments,30,31993.78,6,6,7,2,2942.148333,6.28,818.22,45.14129822
8,14,1,34.15826212,205,Yes,152.4523259,376.6212092,Standard,Standard,High_spent_Small_value_payments,30,31993.78,6,6,7,2,2942.148333,6.28,818.22,45.14129822
8,14,1,30.7880388,206,Yes,43.47040867,455.6031264,Standard,Standard,High_spent_Small_value_payments,30,31993.78,6,6,7,2,2942.148333,6.28,818.22,45.14129822
8,14,1,34.28096872,207,Yes,112.7238874,396.3496477,Standard,Standard,High_spent_Small_value_payments,30,31993.78,6,6,7,2,2942.148333,6.28,818.22,45.14129822
8,16,1,29.50345427,208,Yes,104.5572362,404.5162989,Standard,Standard,High_spent_Small_value_payments,30,31993.78,6,6,7,2,2942.148333,6.28,818.22,45.14129822
8,16,1,36.01279377,209,Yes,97.58820324,421.4853319,Standard,Standard,High_spent_Small_value_payments,30,31993.78,6,6,7,2,2942.148333,6.28,818.22,45.14129822
16,11,0,37.11561494,350,Yes,154.6341231,854.5248769,Standard,Standard,High_spent_Large_value_payments,20,92047.08,6,7,16,0,7591.59,9.13,1296.64,0
16,11,4,39.46775837,351,Yes,710.4953807,328.6636193,Standard,Standard,High_spent_Large_value_payments,20,92047.08,6,7,16,0,7591.59,9.13,1296.64,0
18,11,4,27.79278836,352,Yes,175.4456227,823.7133773,Standard,Standard,High_spent_Large_value_payments,20,92047.08,6,7,16,0,7591.59,9.13,1296.64,0
16,11,4,42.94468168,352,Yes,120.9075538,878.2514462,Poor,Standard,High_spent_Large_value_payments,20,92047.08,6,7,16,0,7591.59,9.13,1296.64,0
16,8,4,34.35765024,354,NM,78.71934549,920.4396545,Poor,Standard,High_spent_Large_value_payments,20,92047.08,6,7,16,0,7591.59,9.13,1296.64,0
16,13,4,28.77693774,354,Yes,266.5850272,782.5739728,Poor,Standard,High_spent_Large_value_payments,20,92047.08,6,7,16,0,7591.59,9.13,1296.64,0
16,10,4,40.75852164,356,Yes,59.28557023,939.8734298,Poor,Standard,High_spent_Large_value_payments,20,92047.08,6,7,16,0,7591.59,9.13,1296.64,0
16,11,4,27.72764678,357,Yes,268.0846033,761.0743967,Poor,Standard,High_spent_Large_value_payments,20,92047.08,6,7,16,0,7591.59,9.13,1296.64,0
11,12,8,28.94089259,77,Yes,254.8616151,211.9393246,Standard,Standard,Low_spent_Small_value_payments,46,32284.62,6,7,17,6,2898.385,9.22,1283.37,103.0375604
11,12,8,27.86131019,78,Yes,103.2103074,353.5906322,Standard,Standard,Low_spent_Small_value_payments,46,32284.62,6,7,17,6,2898.385,9.22,1283.37,103.0375604
10,12,8,27.88169704,79,Yes,35.79356841,391.0073712,Standard,Standard,Low_spent_Small_value_payments,46,32284.62,6,7,17,6,2898.385,9.22,1283.37,103.0375604
11,12,8,38.39455822,80,Yes,280.2182538,196.5826859,Standard,Standard,Low_spent_Small_value_payments,46,32284.62,6,7,17,6,2898.385,9.22,1283.37,103.0375604
15,12,10,33.23978443,81,Yes,154.0197492,292.7811904,Standard,Standard,Low_spent_Small_value_payments,46,32284.62,6,7,17,6,2898.385,9.22,1283.37,103.0375604
11,12,10,26.87446741,82,Yes,272.2735499,204.5273897,Standard,Standard,Low_spent_Small_value_payments,46,32284.62,6,7,17,6,2898.385,9.22,1283.37,103.0375604
7,12,10,24.2055332,83,Yes,254.8616151,85.90209493,Standard,Standard,Low_spent_Small_value_payments,46,32284.62,6,7,17,6,2898.385,9.22,1283.37,103.0375604
13,12,10,27.93012371,84,Yes,359.7718323,117.0291074,Standard,Standard,Low_spent_Small_value_payments,46,32284.62,6,7,17,6,2898.385,9.22,1283.37,103.0375604
18,8,1,25.71557884,326,Yes,451.2465194,646.6819806,Standard,Standard,High_spent_Medium_value_payments,26,97791.42,6,6,12,0,7449.469347,17.92,107.41,629.8156531
18,8,1,28.71120252,327,Yes,322.7203197,755.2081803,Standard,Standard,High_spent_Medium_value_payments,26,97791.42,6,6,12,0,7449.469347,17.92,107.41,629.8156531
18,7,1,34.92287233,328,Yes,176.2642258,881.6642742,Standard,Standard,High_spent_Medium_value_payments,26,97791.42,6,6,12,0,7449.469347,17.92,107.41,629.8156531
19,8,1,26.51363149,329,Yes,499.24502,588.68348,Good,Standard,High_spent_Medium_value_payments,26,97791.42,6,6,12,0,7449.469347,17.92,107.41,629.8156531
18,8,1,38.64911431,330,Yes,77.60922834,970.3192717,Good,Standard,High_spent_Medium_value_payments,26,97791.42,6,6,12,0,7449.469347,17.92,107.41,629.8156531
16,8,1,44.67688859,331,Yes,108.3039386,939.6245614,Good,Standard,High_spent_Medium_value_payments,26,97791.42,6,6,12,0,7449.469347,17.92,107.41,629.8156531
18,8,1,28.80734982,332,Yes,743.5408013,334.3876987,Standard,Standard,High_spent_Medium_value_payments,26,97791.42,6,6,12,0,7449.469347,17.92,107.41,629.8156531
18,8,1,33.8944426,333,Yes,110.3182036,947.6102964,Good,Standard,High_spent_Medium_value_payments,26,97791.42,6,6,12,0,7449.469347,17.92,107.41,629.8156531
52,18,7,29.93418573,218,Yes,79.17641583,312.4876886,Poor,Bad,Low_spent_Large_value_payments,31,19300.34,6,7,17,5,1512.361667,9.95,2430.21,49.57206224
51,18,7,36.64120358,219,NM,55.29821299,306.3658914,Poor,Bad,Low_spent_Large_value_payments,31,19300.34,6,7,17,5,1512.361667,9.95,2430.21,49.57206224
48,19,7,37.62486247,219,Yes,140.8185959,230.8455085,Poor,Bad,Low_spent_Large_value_payments,31,19300.34,6,7,17,5,1512.361667,9.95,2430.21,49.57206224
51,19,7,28.87038692,221,Yes,61.42802987,300.2360745,Standard,Bad,Low_spent_Large_value_payments,31,19300.34,6,7,17,5,1512.361667,9.95,2430.21,49.57206224
51,19,7,28.05884596,221,Yes,173.0425508,218.6215536,Poor,Bad,Low_spent_Large_value_payments,31,19300.34,6,7,17,5,1512.361667,9.95,2430.21,49.57206224
51,17,8,25.84779062,223,Yes,83.44744883,288.2166556,Poor,Bad,Low_spent_Large_value_payments,31,19300.34,6,7,17,5,1512.361667,9.95,2430.21,49.57206224
51,19,8,25.84314494,224,Yes,120.9754899,250.6886146,Poor,Bad,Low_spent_Large_value_payments,31,19300.34,6,7,17,5,1512.361667,9.95,2430.21,49.57206224
53,19,8,23.70919322,225,Yes,118.1855507,263.4785537,Standard,Bad,Low_spent_Large_value_payments,31,19300.34,6,7,17,5,1512.361667,9.95,2430.21,49.57206224
30,12,2,26.08454275,231,NM,50.14372714,382.6802729,Standard,Standard,High_spent_Medium_value_payments,41,19514.88,7,5,17,0,1828.24,4.17,881.4,0
